sample_id,user_id,item_id,valence_score,arousal_score,preference_label,rating,item_popularity_score,item_category,delta,theta,alpha,beta,gamma
0,1,1,5.4017,3.9593,1,4,0.6261,short_video,860.348876953125,466.58062744140625,410.95672607421875,91.99266052246094,5.079572677612305
1,1,2,6.7586,6.7315,1,4,0.3595,music,747.94677734375,326.635498046875,516.3519287109375,112.76329803466797,6.073894023895264
2,1,3,5.0755,3.517,1,4,0.7815,movie,860.447265625,378.74029541015625,467.24371337890625,96.54589080810547,4.631540775299072
3,1,4,5.5018,5.21,1,3,0.3481,movie,799.2830200195312,454.65142822265625,449.056640625,95.37357330322266,3.8638916015625
4,1,5,5.3397,5.9704,1,3,0.346,article,942.71142578125,355.66668701171875,486.57354736328125,83.31952667236328,3.209951162338257
5,1,6,4.2512,5.6184,0,3,0.6321,movie,870.95751953125,462.83544921875,467.11407470703125,74.64744567871094,4.697308540344238
6,1,7,6.8684,5.9471,1,5,0.682,short_video,625.1589965820312,291.98663330078125,561.4508056640625,129.3054962158203,6.120511054992676
7,1,8,3.9683,4.6165,0,3,0.6102,music,1094.25537109375,551.9135131835938,283.432373046875,69.4408187866211,3.657158136367798
8,1,9,5.2915,5.1022,1,3,0.1564,short_video,745.8091430664062,412.9906005859375,538.7962036132812,88.20729064941406,3.874149799346924
9,1,10,6.047,6.195,1,4,0.6314,movie,689.6721801757812,373.529052734375,573.5026245117188,96.12815856933594,5.1211724281311035
10,1,11,4.541,5.1879,0,3,0.2622,article,915.5993041992188,471.9891662597656,431.9598083496094,75.75592803955078,4.183775901794434
11,1,12,6.587,4.9214,1,5,0.5585,short_video,619.8495483398438,335.05316162109375,630.4027099609375,99.75060272216797,6.037198066711426
12,1,13,4.7093,3.8433,0,2,0.1941,game,932.9318237304688,484.23968505859375,443.210205078125,65.34808349609375,4.907519340515137
13,1,14,5.6209,6.4813,1,4,0.6098,music,744.2314453125,357.53338623046875,551.9459228515625,98.05139923095703,4.128138542175293
14,1,15,4.6415,2.9443,0,3,0.3086,article,937.8209838867188,441.89447021484375,435.4449157714844,77.14532470703125,4.420902729034424
15,1,16,4.7773,4.8574,0,3,0.2171,music,916.0896606445312,498.55419921875,418.5699157714844,72.37162780761719,4.898367881774902
16,1,17,6.6062,7.0107,1,5,0.6712,game,747.9743041992188,483.23236083984375,470.56787109375,92.10289001464844,3.582916259765625
