algorithm,user_id,rank,item_id,score
UserCF,1,1,75,0.8812897939137888
UserCF,1,2,90,0.7839294320323095
UserCF,1,3,88,0.7675107385654633
UserCF,1,4,44,0.6951047721650803
UserCF,1,5,23,0.5984176315558091
UserCF,1,6,51,0.5818888138592825
UserCF,1,7,20,0.5426767261187332
UserCF,1,8,43,0.49681752990013445
UserCF,1,9,49,0.46697686624052676
UserCF,1,10,34,0.4492500992374218
UserCF,2,1,58,0.7898021788130744
UserCF,2,2,91,0.7888740225310865
UserCF,2,3,20,0.7005200435993483
UserCF,2,4,72,0.682579373058306
UserCF,2,5,60,0.6592074683500617
UserCF,2,6,77,0.6427354229331568
UserCF,2,7,92,0.6037287703813369
UserCF,2,8,63,0.599299476407817
UserCF,2,9,43,0.5989507524710599
UserCF,2,10,83,0.5928276545349306
UserCF,3,1,93,0.875983111421364
UserCF,3,2,59,0.7773747414513225
UserCF,3,3,42,0.6061479014348817
UserCF,3,4,44,0.5000551881474513
UserCF,3,5,10,0.4852652779270108
UserCF,3,6,37,0.4425458614642492
UserCF,3,7,12,0.40205929623185915
UserCF,3,8,100,0.39924621588617765
UserCF,3,9,33,0.38349986825269594
UserCF,3,10,3,0.38142629320069454
UserCF,4,1,6,0.7828393309162978
UserCF,4,2,29,0.6389687863449187
UserCF,4,3,32,0.5931135572059099
UserCF,4,4,69,0.527058894722415
UserCF,4,5,42,0.5237793273964172
UserCF,4,6,14,0.5049907230199742
UserCF,4,7,47,0.4952542806007557
UserCF,4,8,52,0.4952332897368674
UserCF,4,9,63,0.43023069411626685
UserCF,4,10,18,0.4174192905921444
UserCF,5,1,17,0.819504381956457
UserCF,5,2,20,0.7739868932045701
UserCF,5,3,14,0.6030334412017758
UserCF,5,4,69,0.5919872518829282
UserCF,5,5,36,0.541239682168649
UserCF,5,6,6,0.5343205188747698
UserCF,5,7,37,0.5234998631392469
UserCF,5,8,41,0.4998958530529044
UserCF,5,9,49,0.491587136268254
UserCF,5,10,24,0.40385069207413804
UserCF,6,1,69,0.7228437303750173
UserCF,6,2,25,0.6078094508645637
UserCF,6,3,14,0.5931487827517606
UserCF,6,4,35,0.5662000155172198
UserCF,6,5,50,0.4996178855782665
UserCF,6,6,85,0.49958976887781753
UserCF,6,7,44,0.4829896078911014
UserCF,6,8,57,0.43970052404120236
UserCF,6,9,31,0.412333781057236
UserCF,6,10,41,0.4040865386879339
UserCF,7,1,59,0.8442712200224198
UserCF,7,2,80,0.7088250183714424
UserCF,7,3,23,0.6104461502426634
UserCF,7,4,42,0.5865317020865669
UserCF,7,5,57,0.5840814486424069
UserCF,7,6,41,0.5018005592091686
UserCF,7,7,49,0.47941238087961224
UserCF,7,8,6,0.45961068498193275
UserCF,7,9,37,0.4061808796350961
UserCF,7,10,33,0.40182507864273137
UserCF,8,1,57,0.6363888439124149
UserCF,8,2,87,0.61195747826763
UserCF,8,3,14,0.585616649668608
UserCF,8,4,27,0.5737973973045382
UserCF,8,5,94,0.5677236625015303
UserCF,8,6,23,0.5358804203375025
UserCF,8,7,33,0.4981212857765469
UserCF,8,8,63,0.48502533290421573
UserCF,8,9,16,0.47347936325732126
UserCF,8,10,58,0.44101469670565246
UserCF,9,1,19,0.7971184680781384
UserCF,9,2,51,0.7810486861013177
UserCF,9,3,71,0.7101927871640968
UserCF,9,4,86,0.6613267277368239
UserCF,9,5,34,0.6225137974031153
UserCF,9,6,16,0.5708300862859127
UserCF,9,7,54,0.5037105921712238
UserCF,9,8,46,0.4075422184737691
UserCF,9,9,39,0.3971108829932171
UserCF,9,10,44,0.392345538534122
UserCF,10,1,53,0.7916134738158456
UserCF,10,2,28,0.7277845370731784
UserCF,10,3,84,0.6562245377776188
UserCF,10,4,32,0.5961700162825802
UserCF,10,5,35,0.5950353987725326
UserCF,10,6,6,0.5653167672585865
UserCF,10,7,21,0.49305340021215033
UserCF,10,8,47,0.47130077483211646
UserCF,10,9,40,0.4612685275033986
UserCF,10,10,14,0.41612088847576073
UserCF,11,1,68,0.8992267312940758
